2023-02-25 23:02:12,967 INFO    Thread-17 :70929 [wandb_setup.py:_flush():68] Configure stats pid to 70929
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/.config/wandb/settings
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/thesis_implementation/wandb/settings
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'notebook_name': 'experiment.ipynb', 'project': 'Graphically Guided Neural EM for Unsupervised Image Segmentation', 'entity': 'isaacwasserman', 'root_dir': '/home/ubuntu/thesis_implementation', 'run_id': 'm3960gpm', 'sweep_param_path': '/home/ubuntu/thesis_implementation/wandb/sweep-4kk1zmgw/config-m3960gpm.yaml', 'sweep_id': '4kk1zmgw'}
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiment.py', 'program': 'experiment.py'}
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_init.py:_log_setup():492] Logging user logs to /home/ubuntu/thesis_implementation/wandb/run-20230225_230212-m3960gpm/logs/debug.log
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_init.py:_log_setup():493] Logging internal logs to /home/ubuntu/thesis_implementation/wandb/run-20230225_230212-m3960gpm/logs/debug-internal.log
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_init.py:init():532] calling init triggers
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_init.py:init():538] wandb.init called with sweep_config: {'d': 32, 'dropout': 0.2, 'image_size': [512, 512], 'iterations': 500, 'lambda_': 0.4, 'lr': 0.0001, 'n_filters': 64, 'noise': 0, 'prediction_stride': 4, 'seed': 0, 'subset_size': 0.1}
config: {}
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_init.py:init():588] starting backend
2023-02-25 23:02:12,968 INFO    Thread-17 :70929 [wandb_init.py:init():592] setting up manager
2023-02-25 23:02:12,973 INFO    Thread-17 :70929 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-25 23:02:12,976 INFO    Thread-17 :70929 [wandb_init.py:init():599] backend started and connected
2023-02-25 23:02:12,981 INFO    Thread-17 :70929 [wandb_run.py:_config_callback():1250] config_cb None None {'d': 32, 'dropout': 0.2, 'image_size': [512, 512], 'iterations': 500, 'lambda_': 0.4, 'lr': 0.0001, 'n_filters': 64, 'noise': 0, 'prediction_stride': 4, 'seed': 0, 'subset_size': 0.1}
2023-02-25 23:02:12,983 INFO    Thread-17 :70929 [wandb_init.py:init():687] updated telemetry
2023-02-25 23:02:13,054 INFO    Thread-17 :70929 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-25 23:02:13,266 INFO    Thread-17 :70929 [wandb_run.py:_on_init():2134] communicating current version
2023-02-25 23:02:13,287 INFO    Thread-17 :70929 [wandb_run.py:_on_init():2143] got version response 
2023-02-25 23:02:13,287 INFO    Thread-17 :70929 [wandb_init.py:init():775] starting run threads in backend
2023-02-25 23:02:13,376 INFO    Thread-17 :70929 [wandb_run.py:_console_start():2114] atexit reg
2023-02-25 23:02:13,376 INFO    Thread-17 :70929 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-25 23:02:13,376 INFO    Thread-17 :70929 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-25 23:02:13,376 INFO    Thread-17 :70929 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-25 23:02:13,377 INFO    Thread-17 :70929 [wandb_init.py:init():817] run started, returning control to user process
