2023-02-26 17:43:41,167 INFO    Thread-34 :68293 [wandb_setup.py:_flush():68] Configure stats pid to 68293
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/.config/wandb/settings
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/thesis_implementation/wandb/settings
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'notebook_name': 'experiment.ipynb', 'project': 'Graphically Guided Neural EM for Unsupervised Image Segmentation', 'entity': 'isaacwasserman', 'root_dir': '/home/ubuntu/thesis_implementation', 'run_id': 'ysaczt91', 'sweep_param_path': '/home/ubuntu/thesis_implementation/wandb/sweep-l9mvnbom/config-ysaczt91.yaml', 'sweep_id': 'l9mvnbom'}
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiment.py', 'program': 'experiment.py'}
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_init.py:_log_setup():492] Logging user logs to /home/ubuntu/thesis_implementation/wandb/run-20230226_174341-ysaczt91/logs/debug.log
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_init.py:_log_setup():493] Logging internal logs to /home/ubuntu/thesis_implementation/wandb/run-20230226_174341-ysaczt91/logs/debug-internal.log
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_init.py:init():532] calling init triggers
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_init.py:init():538] wandb.init called with sweep_config: {'d': 32, 'dropout': 0.5, 'image_size': [512, 512], 'iterations': 300, 'lambda_': 0.3, 'lr': 0.01, 'n_filters': 128, 'noise': 0, 'prediction_stride': 4, 'seed': 0, 'subset_size': 0.1}
config: {}
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_init.py:init():588] starting backend
2023-02-26 17:43:41,168 INFO    Thread-34 :68293 [wandb_init.py:init():592] setting up manager
2023-02-26 17:43:41,171 INFO    Thread-34 :68293 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-26 17:43:41,174 INFO    Thread-34 :68293 [wandb_init.py:init():599] backend started and connected
2023-02-26 17:43:41,177 INFO    Thread-34 :68293 [wandb_run.py:_config_callback():1250] config_cb None None {'d': 32, 'dropout': 0.5, 'image_size': [512, 512], 'iterations': 300, 'lambda_': 0.3, 'lr': 0.01, 'n_filters': 128, 'noise': 0, 'prediction_stride': 4, 'seed': 0, 'subset_size': 0.1}
2023-02-26 17:43:41,178 INFO    Thread-34 :68293 [wandb_init.py:init():687] updated telemetry
2023-02-26 17:43:41,241 INFO    Thread-34 :68293 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-26 17:43:41,421 INFO    Thread-34 :68293 [wandb_run.py:_on_init():2134] communicating current version
2023-02-26 17:43:41,445 INFO    Thread-34 :68293 [wandb_run.py:_on_init():2143] got version response 
2023-02-26 17:43:41,445 INFO    Thread-34 :68293 [wandb_init.py:init():775] starting run threads in backend
2023-02-26 17:43:41,527 INFO    Thread-34 :68293 [wandb_run.py:_console_start():2114] atexit reg
2023-02-26 17:43:41,527 INFO    Thread-34 :68293 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-26 17:43:41,527 INFO    Thread-34 :68293 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-26 17:43:41,527 INFO    Thread-34 :68293 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-26 17:43:41,528 INFO    Thread-34 :68293 [wandb_init.py:init():817] run started, returning control to user process
2023-02-26 17:44:13,965 INFO    Thread-34 :68293 [wandb_run.py:_finish():1854] finishing run isaacwasserman/Graphically Guided Neural EM for Unsupervised Image Segmentation/ysaczt91
2023-02-26 17:44:13,965 INFO    Thread-34 :68293 [wandb_run.py:_atexit_cleanup():2083] got exitcode: 0
2023-02-26 17:44:13,965 INFO    Thread-34 :68293 [wandb_run.py:_restore():2066] restore
2023-02-26 17:44:13,965 INFO    Thread-34 :68293 [wandb_run.py:_restore():2072] restore done
2023-02-26 17:44:17,431 INFO    Thread-34 :68293 [wandb_run.py:_footer_history_summary_info():3442] rendering history
2023-02-26 17:44:17,431 INFO    Thread-34 :68293 [wandb_run.py:_footer_history_summary_info():3474] rendering summary
2023-02-26 17:44:17,432 INFO    Thread-34 :68293 [wandb_run.py:_footer_sync_info():3398] logging synced files
