2023-02-26 19:59:57,115 INFO    MainThread:94050 [wandb_setup.py:_flush():68] Configure stats pid to 94050
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/.config/wandb/settings
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_setup.py:_flush():68] Loading settings from /home/ubuntu/thesis_implementation/wandb/settings
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'isaacwasserman', 'project': 'Graphically Guided Neural EM for Unsupervised Image Segmentation', 'sweep_id': 'mjpvyxrh', 'root_dir': '/home/ubuntu/thesis_implementation', 'run_id': 'l2mu1k3y', 'sweep_param_path': '/home/ubuntu/thesis_implementation/wandb/sweep-mjpvyxrh/config-l2mu1k3y.yaml'}
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'experiment.py', 'program': 'experiment.py'}
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_init.py:_log_setup():492] Logging user logs to /home/ubuntu/thesis_implementation/wandb/run-20230226_195957-l2mu1k3y/logs/debug.log
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_init.py:_log_setup():493] Logging internal logs to /home/ubuntu/thesis_implementation/wandb/run-20230226_195957-l2mu1k3y/logs/debug-internal.log
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_init.py:init():532] calling init triggers
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_init.py:init():538] wandb.init called with sweep_config: {'d': 8, 'dropout': 0.3, 'image_size': [512, 512], 'iterations': 400, 'lambda_': 0.4, 'lr': 0.001, 'n_filters': 64, 'noise': 0, 'prediction_stride': 4, 'seed': 0, 'subset_size': 0.3}
config: {}
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_init.py:init():588] starting backend
2023-02-26 19:59:57,116 INFO    MainThread:94050 [wandb_init.py:init():592] setting up manager
2023-02-26 19:59:57,119 INFO    MainThread:94050 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-02-26 19:59:57,122 INFO    MainThread:94050 [wandb_init.py:init():599] backend started and connected
2023-02-26 19:59:57,125 INFO    MainThread:94050 [wandb_run.py:_config_callback():1250] config_cb None None {'d': 8, 'dropout': 0.3, 'image_size': [512, 512], 'iterations': 400, 'lambda_': 0.4, 'lr': 0.001, 'n_filters': 64, 'noise': 0, 'prediction_stride': 4, 'seed': 0, 'subset_size': 0.3}
2023-02-26 19:59:57,127 INFO    MainThread:94050 [wandb_init.py:init():687] updated telemetry
2023-02-26 19:59:57,138 INFO    MainThread:94050 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-02-26 19:59:57,331 INFO    MainThread:94050 [wandb_run.py:_on_init():2134] communicating current version
2023-02-26 19:59:57,348 INFO    MainThread:94050 [wandb_run.py:_on_init():2143] got version response 
2023-02-26 19:59:57,348 INFO    MainThread:94050 [wandb_init.py:init():775] starting run threads in backend
2023-02-26 19:59:57,433 INFO    MainThread:94050 [wandb_run.py:_console_start():2114] atexit reg
2023-02-26 19:59:57,433 INFO    MainThread:94050 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-02-26 19:59:57,433 INFO    MainThread:94050 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-02-26 19:59:57,433 INFO    MainThread:94050 [wandb_run.py:_redirect():2059] Redirects installed.
2023-02-26 19:59:57,433 INFO    MainThread:94050 [wandb_init.py:init():817] run started, returning control to user process
2023-02-26 20:00:08,328 WARNING MsgRouterThr:94050 [router.py:message_loop():77] message_loop has been closed
